;怪物名	忽视防御(0~100)	增加伤害(0~255)	伤害反弹(0~100)	物伤减少(0~100)	魔伤减少(0~100)	麻痹-几率-时间(0~1,0~1,0~1)	防麻痹(0~1)	防全毒(0~1)	防火墙(0~1)	防诱惑(0~1)	破复活(0~1)	破护身(0~1)	冰冻-几率-时间(0~1，0~10，0~10）	防冰冻(0-1)	蛛网-几率-时间(0~1，0~10，0~10）	防蛛网(0-1)	暴击抵抗(0-1000)	吸血抵抗(0-100)
麒麟	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	0
三头龙	100	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	0
神兽	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	100
神兽999	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	100
白虎	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	100
圣兽	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	100
月灵	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	100
毒蛇谷隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
边界村隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
银杏村隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
白日门隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
封魔谷隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
苍月岛隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
盟重城隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
红名村隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
魔龙城隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
比奇城隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
卧龙山庄隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
落霞山庄隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
沙巴克隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
祖玛寺庙隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
死亡山谷隐士	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	100
远古虫皇	100	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	0
魔化树妖	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	100
瘟疫之王	0	0	0	0	0	0-0-0	0	1	0	1	0	0	0-0-0	0	0-0-0	0	0	0
铁甲地龙	0	0	0	100	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	100	0
火麒麟	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	0
远古沙虫	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	0
暗翼魔龙	30	0	0	30	30	1-10-1	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	0
上古冰龙	0	0	0	0	0	0-0-0	0	0	0	1	0	0	1-20-1	0	0-0-0	0	0	0
棘甲刺龙	0	0	80	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	0
宝藏尸王	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	1	0	0
神龙战神将	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	100
神龙魔神将	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	100
神龙道神将	0	0	0	0	0	0-0-0	0	0	0	1	0	0	0-0-0	0	0-0-0	0	0	100
